application_no,amount,date,amount_fine,amount_discount,description,collected_by,payment_mode,received_by,fee_category,fee_group,fee_type,receipt_id
993,4000,2021-11-05,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,2
993,1000,2021-11-01,0,0,"BOOKS FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-BOOKSFEE-MPC,5,3
909,5000,2021-12-01,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,5
1049,3000,2021-12-01,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,6
1132,4000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,7
1070,3000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,8
1096,5000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-BIPC,1,9
1300,6000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,10
1156,3700,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,1,11
1156,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,2,11
1156,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-CEC,4,11
1082,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,2,12
1082,2000,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,3,12
1082,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,4,12
1262,600,2021-12-04,0,0,"UNIFORM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,9,13
1393,3000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-BIPC,1,14
1420,5000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,15
1420,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,2,15
1420,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,4,15
1420,600,2021-12-04,0,0,"UNIFORM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,9,15
896,4000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,16
896,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,2,16
896,2000,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,3,16
896,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,4,16
1040,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,2,17
1040,2000,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,3,17
1040,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,4,17
1017,3000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,18
1017,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,2,18
1017,2000,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,3,18
1017,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,4,18
1073,4000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,1,19
1491,800,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-CEC,2,21
1491,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-CEC,4,21
1395,1200,2021-11-01,0,0,"UNIFORM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-BIPC,9,22
1014,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,2,23
1014,2000,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,3,23
1014,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,4,23
931,900,2021-12-04,0,0,"EXAM FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,2,25
931,2000,2021-12-04,0,0,"PRACTICAL FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,3,25
931,500,2021-12-04,0,0,"BOOKLET FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-SR-MPC,4,25
1272,6000,2021-12-04,0,0,"TUITION FEE","Super Admin(9000)",Cash,1,fees,2021-202208199-JR-MPC,1,26
